– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-maddpg_01.log src 81

Job started: Thu Jun 18 10:42:01 PM UTC 2026
Host: gpunode10.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:01 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (MADDPG)...
Ep 20500/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 7.88, adversary_1: 7.88, adversary_2: 7.88, agent_0: -14.15]
Ep 21000/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 7.74, adversary_1: 7.74, adversary_2: 7.74, agent_0: -13.30]
Ep 21500/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 6.66, adversary_1: 6.66, adversary_2: 6.66, agent_0: -12.16]
Ep 22000/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 6.60, adversary_1: 6.60, adversary_2: 6.60, agent_0: -11.90]
Ep 22500/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 7.40, adversary_1: 7.40, adversary_2: 7.40, agent_0: -12.92]
Ep 23000/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 5.38, adversary_1: 5.38, adversary_2: 5.38, agent_0: -11.14]
Ep 23500/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 5.72, adversary_1: 5.72, adversary_2: 5.72, agent_0: -10.70]
Ep 24000/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 6.78, adversary_1: 6.78, adversary_2: 6.78, agent_0: -12.71]
Ep 24500/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 5.52, adversary_1: 5.52, adversary_2: 5.52, agent_0: -11.01]
Ep 25000/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 6.36, adversary_1: 6.36, adversary_2: 6.36, agent_0: -11.77]
Ep 25500/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 5.16, adversary_1: 5.16, adversary_2: 5.16, agent_0: -9.80]
Ep 26000/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 5.26, adversary_1: 5.26, adversary_2: 5.26, agent_0: -10.83]
Ep 26500/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 6.14, adversary_1: 6.14, adversary_2: 6.14, agent_0: -11.25]
Ep 27000/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 6.52, adversary_1: 6.52, adversary_2: 6.52, agent_0: -12.06]
Ep 27500/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 5.96, adversary_1: 5.96, adversary_2: 5.96, agent_0: -11.51]
Ep 28000/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 6.22, adversary_1: 6.22, adversary_2: 6.22, agent_0: -11.70]
Ep 28500/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 5.78, adversary_1: 5.78, adversary_2: 5.78, agent_0: -11.38]
Ep 29000/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 6.36, adversary_1: 6.36, adversary_2: 6.36, agent_0: -11.51]
Ep 29500/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 6.16, adversary_1: 6.16, adversary_2: 6.16, agent_0: -11.37]
Ep 30000/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 5.98, adversary_1: 5.98, adversary_2: 5.98, agent_0: -11.84]
Ep 30500/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 5.22, adversary_1: 5.22, adversary_2: 5.22, agent_0: -11.36]
Ep 31000/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 5.14, adversary_1: 5.14, adversary_2: 5.14, agent_0: -10.92]
Ep 31500/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 5.88, adversary_1: 5.88, adversary_2: 5.88, agent_0: -11.73]
Ep 32000/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 6.40, adversary_1: 6.40, adversary_2: 6.40, agent_0: -12.39]
Ep 32500/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 6.80, adversary_1: 6.80, adversary_2: 6.80, agent_0: -12.55]
Ep 33000/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 5.38, adversary_1: 5.38, adversary_2: 5.38, agent_0: -10.74]
Ep 33500/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 6.64, adversary_1: 6.64, adversary_2: 6.64, agent_0: -12.37]
Ep 34000/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 6.06, adversary_1: 6.06, adversary_2: 6.06, agent_0: -11.55]
Ep 34500/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 6.54, adversary_1: 6.54, adversary_2: 6.54, agent_0: -12.06]
Ep 35000/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 6.86, adversary_1: 6.86, adversary_2: 6.86, agent_0: -11.61]
Ep 35500/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 6.82, adversary_1: 6.82, adversary_2: 6.82, agent_0: -12.79]
Ep 36000/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 6.12, adversary_1: 6.12, adversary_2: 6.12, agent_0: -10.84]
Ep 36500/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 5.88, adversary_1: 5.88, adversary_2: 5.88, agent_0: -11.01]
Ep 37000/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 5.82, adversary_1: 5.82, adversary_2: 5.82, agent_0: -10.90]
Ep 37500/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 5.32, adversary_1: 5.32, adversary_2: 5.32, agent_0: -10.10]
Ep 38000/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 6.42, adversary_1: 6.42, adversary_2: 6.42, agent_0: -11.52]
