– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-iddpg_01.log slurm-out-iddpg_fast.log slurm-out-maddpg_01.log slurm-out-maddpg_fast.log src 81

Job started: Thu Jun 18 10:42:21 PM UTC 2026
Host: gpunode01.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:21 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (Independent DDPG) - FAST MODE...
Ep 20000/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 22.12, adversary_1: 22.12, adversary_2: 22.12, agent_0: -28.42]
Ep 20500/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 23.62, adversary_1: 23.62, adversary_2: 23.62, agent_0: -29.94]
Ep 21000/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 19.52, adversary_1: 19.52, adversary_2: 19.52, agent_0: -25.46]
Ep 21500/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 19.78, adversary_1: 19.78, adversary_2: 19.78, agent_0: -26.82]
Ep 22000/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 20.04, adversary_1: 20.04, adversary_2: 20.04, agent_0: -26.60]
Ep 22500/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 18.16, adversary_1: 18.16, adversary_2: 18.16, agent_0: -25.02]
Ep 23000/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 18.04, adversary_1: 18.04, adversary_2: 18.04, agent_0: -24.74]
Ep 23500/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 20.82, adversary_1: 20.82, adversary_2: 20.82, agent_0: -27.76]
Ep 24000/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 19.00, adversary_1: 19.00, adversary_2: 19.00, agent_0: -26.13]
Ep 24500/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 18.06, adversary_1: 18.06, adversary_2: 18.06, agent_0: -25.26]
Ep 25000/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 17.32, adversary_1: 17.32, adversary_2: 17.32, agent_0: -23.64]
Ep 25500/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 17.76, adversary_1: 17.76, adversary_2: 17.76, agent_0: -24.66]
Ep 26000/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 16.38, adversary_1: 16.38, adversary_2: 16.38, agent_0: -23.92]
Ep 26500/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 16.02, adversary_1: 16.02, adversary_2: 16.02, agent_0: -24.13]
Ep 27000/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 19.02, adversary_1: 19.02, adversary_2: 19.02, agent_0: -27.89]
Ep 27500/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 16.66, adversary_1: 16.66, adversary_2: 16.66, agent_0: -24.84]
Ep 28000/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 18.04, adversary_1: 18.04, adversary_2: 18.04, agent_0: -25.55]
Ep 28500/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 15.92, adversary_1: 15.92, adversary_2: 15.92, agent_0: -23.25]
Ep 29000/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 15.30, adversary_1: 15.30, adversary_2: 15.30, agent_0: -22.51]
Ep 29500/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 16.80, adversary_1: 16.80, adversary_2: 16.80, agent_0: -23.24]
Ep 30000/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 16.44, adversary_1: 16.44, adversary_2: 16.44, agent_0: -22.69]
Ep 30500/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 18.34, adversary_1: 18.34, adversary_2: 18.34, agent_0: -25.02]
Ep 31000/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 15.98, adversary_1: 15.98, adversary_2: 15.98, agent_0: -22.35]
Ep 31500/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 15.80, adversary_1: 15.80, adversary_2: 15.80, agent_0: -22.36]
Ep 32000/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 15.72, adversary_1: 15.72, adversary_2: 15.72, agent_0: -22.12]
Ep 32500/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 16.16, adversary_1: 16.16, adversary_2: 16.16, agent_0: -23.78]
