– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-iddpg_01.log slurm-out-maddpg_01.log slurm-out-maddpg_fast.log src 81

Job started: Thu Jun 18 10:42:15 PM UTC 2026
Host: gpunode09.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:15 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (Independent DDPG)...
Ep 20500/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 10.00, adversary_1: 10.00, adversary_2: 10.00, agent_0: -12.44]
Ep 21000/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 9.58, adversary_1: 9.58, adversary_2: 9.58, agent_0: -12.50]
Ep 21500/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 8.52, adversary_1: 8.52, adversary_2: 8.52, agent_0: -11.78]
Ep 22000/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 6.96, adversary_1: 6.96, adversary_2: 6.96, agent_0: -10.08]
Ep 22500/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 7.92, adversary_1: 7.92, adversary_2: 7.92, agent_0: -10.67]
Ep 23000/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 8.04, adversary_1: 8.04, adversary_2: 8.04, agent_0: -10.68]
Ep 23500/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 7.92, adversary_1: 7.92, adversary_2: 7.92, agent_0: -10.12]
Ep 24000/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 6.92, adversary_1: 6.92, adversary_2: 6.92, agent_0: -9.50]
Ep 24500/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 6.62, adversary_1: 6.62, adversary_2: 6.62, agent_0: -9.46]
Ep 25000/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 7.52, adversary_1: 7.52, adversary_2: 7.52, agent_0: -10.38]
Ep 25500/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 6.90, adversary_1: 6.90, adversary_2: 6.90, agent_0: -9.45]
Ep 26000/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 6.20, adversary_1: 6.20, adversary_2: 6.20, agent_0: -9.57]
Ep 26500/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 7.56, adversary_1: 7.56, adversary_2: 7.56, agent_0: -11.01]
Ep 27000/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 7.26, adversary_1: 7.26, adversary_2: 7.26, agent_0: -10.68]
Ep 27500/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 6.74, adversary_1: 6.74, adversary_2: 6.74, agent_0: -10.25]
Ep 28000/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 7.10, adversary_1: 7.10, adversary_2: 7.10, agent_0: -10.71]
Ep 28500/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 8.14, adversary_1: 8.14, adversary_2: 8.14, agent_0: -11.88]
Ep 29000/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 6.98, adversary_1: 6.98, adversary_2: 6.98, agent_0: -11.06]
Ep 29500/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 7.06, adversary_1: 7.06, adversary_2: 7.06, agent_0: -10.87]
Ep 30000/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 6.76, adversary_1: 6.76, adversary_2: 6.76, agent_0: -10.52]
Ep 30500/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 5.94, adversary_1: 5.94, adversary_2: 5.94, agent_0: -9.58]
Ep 31000/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 5.72, adversary_1: 5.72, adversary_2: 5.72, agent_0: -9.48]
Ep 31500/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 6.32, adversary_1: 6.32, adversary_2: 6.32, agent_0: -10.30]
Ep 32000/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 5.76, adversary_1: 5.76, adversary_2: 5.76, agent_0: -9.82]
Ep 32500/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 5.60, adversary_1: 5.60, adversary_2: 5.60, agent_0: -9.31]
Ep 33000/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 5.44, adversary_1: 5.44, adversary_2: 5.44, agent_0: -8.68]
Ep 33500/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 5.04, adversary_1: 5.04, adversary_2: 5.04, agent_0: -8.31]
Ep 34000/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 5.70, adversary_1: 5.70, adversary_2: 5.70, agent_0: -8.86]
Ep 34500/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 4.26, adversary_1: 4.26, adversary_2: 4.26, agent_0: -7.64]
Ep 35000/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 4.46, adversary_1: 4.46, adversary_2: 4.46, agent_0: -7.99]
Ep 35500/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 4.44, adversary_1: 4.44, adversary_2: 4.44, agent_0: -8.05]
Ep 36000/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 4.66, adversary_1: 4.66, adversary_2: 4.66, agent_0: -8.41]
Ep 36500/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 3.90, adversary_1: 3.90, adversary_2: 3.90, agent_0: -7.16]
Ep 37000/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 3.56, adversary_1: 3.56, adversary_2: 3.56, agent_0: -6.55]
Ep 37500/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 4.38, adversary_1: 4.38, adversary_2: 4.38, agent_0: -7.26]
Ep 38000/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 4.14, adversary_1: 4.14, adversary_2: 4.14, agent_0: -6.90]
Ep 38500/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 4.80, adversary_1: 4.80, adversary_2: 4.80, agent_0: -7.39]
Ep 39000/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 4.86, adversary_1: 4.86, adversary_2: 4.86, agent_0: -7.09]
Ep 39500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 4.10, adversary_1: 4.10, adversary_2: 4.10, agent_0: -6.36]
Ep 40000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 4.90, adversary_1: 4.90, adversary_2: 4.90, agent_0: -6.96]
Ep 40500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 4.72, adversary_1: 4.72, adversary_2: 4.72, agent_0: -7.21]
Ep 41000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 5.56, adversary_1: 5.56, adversary_2: 5.56, agent_0: -8.16]
Ep 41500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 6.84, adversary_1: 6.84, adversary_2: 6.84, agent_0: -9.49]
